,id,cxsmiles
0,0,"C1C2CC(C1C3C2O3)O.CC.CNN=C(C)NC |$;;;;;;;;;;J31;;;;;;;$,m:9:0.1.2.3.4,m:11:0.1.6.5.4|"
1,1,"CC(=O)OC1COSC1F.CC |$;;;;X;D;;E1;;;;R88$,m:10:4.5.6.7.8,Sg:n:6:y:ht|"
2,2,"CC1(OC(=O)C(=S=S)C(=O)O1)C |$;;;;;;;;;;;$,Sg:n:10:d:ht|"
3,3,"CN1C=C2C(=NC=N2)N=C1OC.CN=C(C)N(C)S(C)(=O)=O |$;;;;;K;M;G9;;;;;;;;;;;;;;$,m:12:1.9.8.4.3.2|"
4,4,C1=CC2=C(C(=O)OC(=C2C=C1)O)O |$;;;;;V1;;L7;;;M;L;$|
5,5,"COC1CCC2[C@H]1C2.CC.CC |$;;;;;;;;;W1;;Q$,m:8:2.3.4.5.6,m:10:7.6.5|"
6,6,"COC(=O)C12CCCC(C1)(CC2)I.CN=NC=N |$;;;;;;;;;;;;;;;;;$,m:13:9.8.10.11.4|"
7,7,"CSC1[C@@H]([C@H]([C@H](C(O1)CO)O)O)O.CC=NNC(=O)N(C)C |$;;;;;;;;;V;;;;;;;;;;;;$,m:13:2.7.6.5.4.3|"
8,8,"CC(C)C1CCNCC2=C1OC(=C2)Br.CC.CC |$;;;;;;Y;;;;;;;;;A44;;R30$,m:14:3.4.5.6.7.8.9,m:16:10.9.8.12.11,Sg:n:3:b:ht|"
9,9,"CC1=CC=C(C(C=C1)OC)OC.CN=C(NC)N(C)OC |$;;;;;;;;;;;;;;;;;;;;$,m:12:1.2.3.4.5.6.7|"
10,10,CC1(CC1NC2=C(C(=NS2)N)OC)C |$;G7;;;;;;;;;;;;$|
11,11,"C1C[C@@H]2[C@@H]3C[C@H]1[C@@H]([C@H]2OC3=O)Cl.CC(C)(N)O.CC |$;L8;;;;;;;;;;;;;;;;;Z$,m:12:8.7.2.3.9,m:17:0.5.4.3.2.1|"
12,12,"CC1CC2C(C(C1=O)(C)C)OCCO2.CC(C)(N)O.CN(C)S(N)(=O)=O |$V;;;J;;;;;;;;X;;;;;;;;;;;;;;$,m:14:1.6.5.4.3.2,m:19:10.11.12.13.3.4,Sg:n:13:K:ht|"
13,13,"CC(NCCP)OC |$;;;;;;;$,Sg:n:3,4:D:ht|"
14,14,"C1CNCC1C2=CC=CC=C2C3COC3.COOC=O.CNSC |$;;U0;;;;;;;V;;;;W6;E;;;;;;;;;$,m:15:6.7.8.9.10.5,m:20:12.13.14.11|"
15,15,"C1=CC(=C(C(=C1)F)C2=NC=CO2)C=O.CN(C)ON(C)C.CC |$;;;;;;;;;;;;;;;;;;;;;;R52$,m:14:0.5.4.3.2.1,m:21:8.7.11.10.9|"
16,16,"CC1=CC[C@H]2C([C@@H]1C(=O)O2)C(=O)O.CC(=O)ON |$;K;;L;;;;;;Y;;;;;;;;$,m:13:1.6.5.4.3.2,Sg:n:6:y:ht|"
17,17,"C1CNC(=O)[C@H]1C2(CCOCC2)O.CC |$;;;;B7;;;;;D5;;;;;Y02$,m:13:0.1.2.3.5,Sg:n:10:I:ht|"
18,18,"CC1C(C(C(C(O1)CO)O)O)I.CN=C(SC)N(C)N=C(C)C |$;;;;;;;;;;Z;;;;;;;;;;;;$,m:12:1.6.5.4.3.2|"
