value,valence
"SO",0
"CS",0
"methyl",0
"oxygen",0
"sulfur",0
"silicon",0
"zirconium",0
"hydroxyl",0
"hydrogen",0
"ethyl",0
"phenyl",0
"benzyl",0
"trifluoromethyl",0
"chlorine",0
"isobutyl",0
"bromine",0
"iodine",0
"propyl",0
"nitro",0
"cyano",0
"amido",0
"hydroxy",0
"aryl",0
"acyl",0
"heterocyclyl",0
"heteroaryl",0
"a bromine atom",0
"an iodine atom",0
"a hydrogen atom",0
"a halogen atom",0
"a methyl group",0
"a methoxy group",0
"a trifluoromethyl group",0
"an aromatic heterocyclic group",0
"lower alkyl",0
"an amino acid",0
"a Ligand unit",0
"Linker unit",0
"Stretcher unit",0
"Specificity unit",0
