value,valence
Me,1
Et,1
Pr,1
nPr,1
n-Pr,1
(n)Pr,1
iPr,1
i-Pr,1
(i)Pr,1
Pri,1
Pr-i,1
Bu,1
nBu,1
n-Bu,1
(n)Bu,1
sBu,1
s-Bu,1
(s)Bu,1
iBu,1
i-Bu,1
(i)Bu,1
tBu,1
t-Bu,1
(t)Bu,1
But,1
Bu-t,1
C2H5,1
C3H7,1
nC3H7,1
n-C3H7,1
C3H7n,1
C3H7-n,1
(n)C3H7,1
C3H7(n),1
iC3H7,1
i-C3H7,1
C3H7i,1
C3H7-i,1
(i)C3H7,1
C3H7(i),1
C4H9,1
nC4H9,1
n-C4H9,1
C4H9n,1
C4H9-n,1
(n)C4H9,1
C4H9(n),1
sC4H9,1
s-C4H9,1
C4H9s,1
C4H9-s,1
(s)C4H9,1
C4H9(s),1
iC4H9,1
i-C4H9,1
C4H9i,1
C4H9-i,1
(i)C4H9,1
C4H9(i),1
tC4H9,1
t-C4H9,1
C4H9t,1
C4H9-t,1
(t)C4H9,1
C4H9(t),1
C5H11,1
nC5H11,1
n-C5H11,1
C5H11n,1
C5H11-n,1
(n)C5H11,1
C5H11(n),1
tC5H11,1
t-C5H11,1
C5H11t,1
C5H11-t,1
(t)C5H11,1
C5H11(t),1
C6H13,1
C7H15,1
C8H17,1
C9H19,1
C10H21,1
C11H23,1
C12H25,1
C13H27,1
C14H29,1
C15H31,1
C16H33,1
C17H35,1
C18H37,1
C19H39,1
C20H41,1
C21H43,1
C22H45,1
C23H47,1
C24H49,1
C25H51,1
H5C2,1
H7C3,1
nH7C3,1
n-H7C3,1
(n)H7C3,1
iH7C3,1
i-H7C3,1
(i)H7C3,1
H9C4,1
nH9C4,1
n-H9C4,1
(n)H9C4,1
sH9C4,1
s-H9C4,1
(s)H9C4,1
iH9C4,1
i-H9C4,1
(i)H9C4,1
tH9C4,1
t-H9C4,1
(t)H9C4,1
H11C5,1
nH11C5,1
n-H11C5,1
(n)H11C5,1
tH11C5,1
t-H11C5,1
(t)H11C5,1
H13C6,1
H15C7,1
H17C8,1
H19C9,1
H21C10,1
H23C11,1
H25C12,1
H27C13,1
H29C14,1
H31C15,1
H33C16,1
H35C17,1
H37C18,1
H39C19,1
H41C20,1
H43C21,1
H45C22,1
H47C23,1
H49C24,1
H51C25,1
n-C6H13,1
n-C7H15,1
n-C8H17,1
n-C9H19,1
n-C10H21,1
