value,valence
H,1
Li,1
Be,2
HBe,1
BeH,1
B,3
HB,2
BH,2
H2B,1
BH2,1
C,4
HC,3
CH,3
H2C,2
CH2,2
H3C,1
CH3,1
N,3
HN,2
NH,2
H2N,1
NH2,1
O,2
HO,1
OH,1
F,1
Na,1
Mg,2
HMg,1
MgH,1
Al,3
HAl,2
AlH,2
H2Al,1
AlH2,1
Si,4
HSi,3
SiH,3
H2Si,2
SiH2,2
H3Si,1
SiH3,1
P,3
HP,2
PH,2
H2P,1
PH2,1
S,2
HS,1
SH,1
Cl,1
K,1
Ca,2
HCa,1
CaH,1
Ga,3
HGa,2
GaH,2
H2Ga,1
GaH2,1
Ge,4
HGe,3
GeH,3
H2Ge,2
GeH2,2
H3Ge,1
GeH3,1
As,3
HAs,2
AsH,2
H2As,1
AsH2,1
Se,2
HSe,1
SeH,1
Br,1
Rb,1
Sr,2
HSr,1
SrH,1
In,3
HIn,2
InH,2
H2In,1
InH2,1
Sn,2
HSn,1
SnH,1
