value,valence
COC,2
CN(C)C,3
CNC,2
CNC(C)=O,2
CO,1
CF,1
CC(=O)N(C)C,3
CCl,1
CN,1
COC(C)=O,2
CC(=O)O,1
CSC,2
CC(C)=O,2
CBr,1
CC#N,1
C[N+](=O)[O-],1
CN(C)S(C)(=O)=O,3
CNS(C)(=O)=O,2
CC(N)=O,1
CS(C)(=O)=O,2
CNC(=O)N(C)C,3
CN=[N+]=[N-],1
CNC(=O)NC,2
CNC(=O)OC,2
COC(=O)N(C)C,3
CN=C(NC)NC,3
COC(C)OC,3
CC(=O)N(C)C(C)=O,3
CI,1
CC=O,1
CC=NNC,2
CN=C(C)C,3
CN(C)C(=O)N(C)C,4
CC=NC,2
CN=C(SC)N(C)C,4
CC=NNC(C)=O,2
COC(C)(C)OC,4
CNNC,2
CNN,1
C[NH+](C)C,3
CN=C(C)NC,3
CC(=O)[O-],1
CC(C)=NN(C)C,4
CNC(=O)C(C)N,2
CS,1
CNN(C)C,3
CN=C(NC)N(C)C,4
CN=C(C)N(C)C,4
C[N+](C)(C)C,4
CNC(=S)NC,2
CNNC(C)=O,2
CNN=C(C)C,3
CS(N)(=O)=O,1
CS(C)=O,2
CN=NC,2
CS(=O)(=O)O,1
CON=C(C)C,3
CC(=O)C(=O)N(C)C,3
CNC(=S)N(C)C,3
CC=NN(C)C,3
CON(C)C,3
COC(C)N(C)C,4
CN(C)N(C)C,4
CC(=O)N(C)N=C(C)C,4
CN=C(C)NC(C)=O,3
COS(C)(=O)=O,2
CN=CN(C)C,3
CN=C(N)NC,2
CN=C(C)N(C)C(C)=O,4
CSC(C)N(C)C,4
CC(N)=S,1
CNOC,2
CSC(=O)N(C)C,3
CN=C(C)N,2
CNN(C)C(C)=O,3
CN(C)C(=O)O,2
CN=C(N)N,1
CC(=O)NN=C(C)C,3
CN=CN(C)C(C)=O,3
CNO,1
C[NH2+]C,2
CC(=N)N,1
CC=NN(C)C(C)=O,3
CSC(=S)N(C)C,3
